domain,field,precision,recall,f1,true_positive,predicted,expected,gold_rows,gold_doi,gold_pdf,gold_title,gold_match_mode,gold_path,reference_path,macro_f1
oxazolidinones,pdf,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,publisher,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,section_bacteria,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,section_residue,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,section_scaffold,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,section_target,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,smiles,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,subsection_bacteria,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,subsection_scaffold,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,subsection_target,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,target_relation,0.5,0.029411764705882353,0.05555555555555555,2,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,target_type,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,target_units,0.0,0.0,0.0,0,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,target_value,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,title,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
oxazolidinones,year,1.0,0.058823529411764705,0.1111111111111111,4,4,68,68,10.3390/molecules27031103,,,doi,C:\PyProjects\CheML-master\datasets\SMALL_MOL\Oxazolidinones\train-00000-of-00001 (2).parquet,C:\PyProjects\CheML-master\runs\Oxazolidinones\20260627T112528944614Z-synthesis-antibacterial-and-anthelmintic-activit\reference.csv,0.046875000000000014
